map                   	SemSearch_ES-111	0.1667
map                   	SemSearch_ES-114	0.8090
map                   	SemSearch_ES-115	0.0269
map                   	SemSearch_ES-118	0.4795
map                   	SemSearch_ES-119	0.7342
map                   	SemSearch_ES-12	0.1442
map                   	SemSearch_ES-120	0.1416
map                   	SemSearch_ES-123	1.0000
map                   	SemSearch_ES-124	0.3000
map                   	SemSearch_ES-125	0.1034
map                   	SemSearch_ES-127	0.4000
map                   	SemSearch_ES-128	0.0062
map                   	SemSearch_ES-129	0.1250
map                   	SemSearch_ES-13	0.1111
map                   	SemSearch_ES-130	0.0435
map                   	SemSearch_ES-131	0.5000
map                   	SemSearch_ES-132	0.3547
map                   	SemSearch_ES-135	0.0250
map                   	SemSearch_ES-136	0.3417
map                   	SemSearch_ES-137	0.0159
map                   	SemSearch_ES-139	0.2515
map                   	SemSearch_ES-14	0.6657
map                   	SemSearch_ES-141	0.1136
map                   	SemSearch_ES-15	0.1792
map                   	SemSearch_ES-16	0.4918
map                   	SemSearch_ES-17	0.3375
map                   	SemSearch_ES-18	0.8762
map                   	SemSearch_ES-19	0.2643
map                   	SemSearch_ES-2	0.7928
map                   	SemSearch_ES-20	0.1209
map                   	SemSearch_ES-21	0.7946
map                   	SemSearch_ES-22	0.5091
map                   	SemSearch_ES-23	0.3151
map                   	SemSearch_ES-24	0.3693
map                   	SemSearch_ES-25	0.4045
map                   	SemSearch_ES-26	0.2289
map                   	SemSearch_ES-28	0.2917
map                   	SemSearch_ES-29	0.0103
map                   	SemSearch_ES-3	0.2250
map                   	SemSearch_ES-30	0.0958
map                   	SemSearch_ES-31	0.5760
map                   	SemSearch_ES-32	0.1667
map                   	SemSearch_ES-33	0.7029
map                   	SemSearch_ES-34	0.3012
map                   	SemSearch_ES-36	0.2579
map                   	SemSearch_ES-37	0.8020
map                   	SemSearch_ES-38	0.7632
map                   	SemSearch_ES-39	0.3509
map                   	SemSearch_ES-4	0.5760
map                   	SemSearch_ES-40	0.0222
map                   	SemSearch_ES-41	0.7901
map                   	SemSearch_ES-42	0.6295
map                   	SemSearch_ES-45	0.7784
map                   	SemSearch_ES-47	0.5582
map                   	SemSearch_ES-49	0.2177
map                   	SemSearch_ES-5	0.6622
map                   	SemSearch_ES-50	0.0000
map                   	SemSearch_ES-52	0.4845
map                   	SemSearch_ES-53	0.4426
map                   	SemSearch_ES-54	0.7855
map                   	SemSearch_ES-56	0.7861
map                   	SemSearch_ES-57	0.7864
map                   	SemSearch_ES-58	0.0687
